window,macro,basket,hold,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,t_stat,n_periods,n_months
is,no_macro,10,1,12.55,19.09,0.366,0.367,-55.1,0.228,58.6,2.78,239,239
oos,no_macro,10,1,28.56,15.07,1.36,2.032,-5.73,4.987,63.6,1.61,11,11
is,hy_spread,10,1,12.85,17.56,0.414,0.427,-38.87,0.331,59.8,3.09,239,239
oos,hy_spread,10,1,23.09,11.82,1.359,2.037,-3.4,6.79,63.6,1.7,11,11
is,unemp_yoy,10,1,11.91,16.1,0.399,0.411,-32.76,0.364,59.0,3.13,239,239
oos,unemp_yoy,10,1,26.93,12.57,1.528,2.096,-5.73,4.702,63.6,1.84,11,11
is,no_macro,25,1,13.29,16.53,0.463,0.429,-45.94,0.289,64.0,3.39,239,239
oos,no_macro,25,1,15.04,11.65,0.79,0.998,-3.89,3.87,63.6,1.16,11,11
is,hy_spread,25,1,13.72,14.93,0.539,0.523,-33.69,0.407,64.0,3.87,239,239
oos,hy_spread,25,1,12.22,10.56,0.634,0.717,-3.33,3.674,54.5,1.05,11,11
is,unemp_yoy,25,1,12.11,14.4,0.458,0.439,-29.55,0.41,62.3,3.56,239,239
oos,unemp_yoy,25,1,13.87,9.26,0.883,1.15,-3.89,3.57,54.5,1.35,11,11
is,no_macro,50,1,12.84,15.64,0.464,0.434,-47.94,0.268,63.2,3.47,239,239
oos,no_macro,50,1,11.91,9.79,0.655,0.82,-3.81,3.125,54.5,1.11,11,11
is,hy_spread,50,1,12.74,14.15,0.506,0.49,-37.69,0.338,62.3,3.8,239,239
oos,hy_spread,50,1,10.25,9.23,0.531,0.605,-3.59,2.854,54.5,1.02,11,11
is,unemp_yoy,50,1,11.63,13.75,0.449,0.422,-34.54,0.337,62.3,3.59,239,239
oos,unemp_yoy,50,1,11.23,9.02,0.644,0.826,-3.81,2.947,54.5,1.14,11,11
is,no_macro,10,2,17.23,19.2,0.584,0.552,-44.03,0.391,67.2,3.74,119,238
oos,no_macro,10,2,12.91,24.45,0.301,0.328,-2.41,5.367,60.0,0.46,5,10
is,hy_spread,10,2,16.97,17.56,0.625,0.622,-34.85,0.487,67.2,4.03,119,238
oos,hy_spread,10,2,3.52,19.28,-0.074,-0.064,-2.41,1.461,60.0,0.16,5,10
is,unemp_yoy,10,2,14.32,15.58,0.554,0.554,-26.26,0.545,67.2,3.87,119,238
oos,unemp_yoy,10,2,18.21,17.85,0.676,0.957,-2.41,7.57,60.0,0.87,5,10
is,no_macro,25,2,14.38,16.38,0.53,0.527,-43.96,0.327,67.2,3.69,119,238
oos,no_macro,25,2,4.93,19.83,-0.003,-0.003,-4.23,1.164,60.0,0.22,5,10
is,hy_spread,25,2,14.68,14.67,0.61,0.671,-32.93,0.446,67.2,4.21,119,238
oos,hy_spread,25,2,-1.9,17.81,-0.382,-0.306,-4.23,-0.448,60.0,-0.1,5,10
is,unemp_yoy,25,2,13.66,13.78,0.584,0.62,-26.51,0.515,68.1,4.18,119,238
oos,unemp_yoy,25,2,6.84,13.63,0.129,0.126,-4.23,1.615,60.0,0.45,5,10
is,no_macro,50,2,13.58,15.25,0.523,0.501,-41.64,0.326,68.1,3.76,119,238
oos,no_macro,50,2,7.3,16.13,0.135,0.126,-2.78,2.622,60.0,0.4,5,10
is,hy_spread,50,2,13.3,13.67,0.564,0.575,-33.66,0.395,68.1,4.11,119,238
oos,hy_spread,50,2,4.68,15.49,-0.02,-0.018,-2.78,1.683,60.0,0.27,5,10
is,unemp_yoy,50,2,12.14,13.31,0.501,0.51,-29.72,0.409,68.1,3.87,119,238
oos,unemp_yoy,50,2,9.46,13.49,0.312,0.321,-2.78,3.399,60.0,0.62,5,10
is,no_macro,10,3,17.66,17.32,0.675,0.621,-38.78,0.455,75.9,4.26,79,237
oos,no_macro,10,3,19.28,21.54,0.609,0.753,0.0,,66.7,0.72,3,9
is,hy_spread,10,3,16.5,15.23,0.7,0.695,-30.89,0.534,77.2,4.54,79,237
oos,hy_spread,10,3,8.78,16.7,0.215,0.206,0.0,,66.7,0.44,3,9
is,unemp_yoy,10,3,15.4,14.13,0.684,0.756,-19.62,0.785,75.9,4.58,79,237
oos,unemp_yoy,10,3,18.6,16.55,0.756,0.996,0.0,,66.7,0.91,3,9
is,no_macro,25,3,15.18,14.7,0.645,0.606,-40.02,0.379,74.7,4.35,79,237
oos,no_macro,25,3,12.82,21.8,0.337,0.346,0.0,,66.7,0.49,3,9
is,hy_spread,25,3,13.84,13.18,0.627,0.617,-36.04,0.384,74.7,4.44,79,237
oos,hy_spread,25,3,6.52,19.05,0.077,0.069,0.0,,66.7,0.29,3,9
is,unemp_yoy,25,3,12.75,11.92,0.61,0.647,-27.15,0.47,72.2,4.54,79,237
oos,unemp_yoy,25,3,15.3,15.14,0.633,0.756,0.0,,66.7,0.83,3,9
is,no_macro,50,3,13.83,13.71,0.602,0.55,-41.69,0.332,72.2,4.27,79,237
oos,no_macro,50,3,5.57,17.4,0.032,0.028,0.0,,66.7,0.27,3,9
is,hy_spread,50,3,12.91,12.18,0.609,0.546,-35.3,0.366,73.4,4.5,79,237
oos,hy_spread,50,3,2.77,16.23,-0.134,-0.11,0.0,,66.7,0.15,3,9
is,unemp_yoy,50,3,12.01,11.25,0.586,0.579,-28.68,0.419,73.4,4.54,79,237
oos,unemp_yoy,50,3,7.79,13.77,0.193,0.183,0.0,,66.7,0.48,3,9
