model,basket_size,hold_months,is_ann_return,is_sharpe,is_sortino,is_calmar,spy_is_sharpe,oos_ann_return,oos_sharpe,oos_sortino,oos_calmar,spy_oos_sharpe,pre_shock_ann_return,pre_shock_sharpe,post_shock_ann_return,post_shock_sharpe,post_shock_sector_exposure,full_oos_sector_exposure
two_factor,5,1,16.03,0.562,0.552,0.383,0.403,18.02,0.616,0.599,1.892,1.048,-57.81,-6.959,51.31,2.624,XLI:50.0%; XLK:30.0%; XLY:7.5%; XLP:7.5%; XLV:5.0%,XLI:50.9%; XLK:29.1%; XLV:5.5%; XLY:5.5%; XLP:5.5%
two_factor,5,2,17.73,0.601,0.646,0.486,0.417,8.12,0.112,0.16,4.172,1.07,-53.32,,75.43,3.116,XLI:50.0%; XLK:30.0%; XLY:10.0%; XLP:5.0%; XLV:5.0%,XLI:56.0%; XLK:24.0%; XLP:8.0%; XLV:4.0%; XLU:4.0%
two_factor,5,3,16.07,0.621,0.727,0.521,0.434,14.43,0.401,0.475,,0.78,,,41.98,2.384,XLI:30.0%; XLY:30.0%; XLK:20.0%; XLP:20.0%,XLI:46.7%; XLY:20.0%; XLK:13.3%; XLP:13.3%; XLV:6.7%
two_factor,5,6,14.01,0.551,0.666,0.447,0.436,,,,,,,,9.17,,XLY:40.0%; XLK:20.0%; XLI:20.0%; XLP:20.0%,XLI:80.0%; XLV:20.0%
two_factor,10,1,15.37,0.553,0.541,0.406,0.403,15.53,0.407,0.642,1.672,1.048,-58.13,-9.593,50.45,1.67,XLI:32.5%; XLK:23.8%; XLP:12.5%; XLV:8.8%; XLY:7.5%,XLI:30.9%; XLK:25.5%; XLV:9.1%; XLY:9.1%; XLP:9.1%
two_factor,10,2,15.29,0.545,0.533,0.42,0.417,11.79,0.254,0.399,6.625,1.07,-47.33,,60.26,2.292,XLI:30.0%; XLK:25.0%; XLP:12.5%; XLV:10.0%; XLY:7.5%,XLI:34.0%; XLK:24.0%; XLV:8.0%; XLY:8.0%; XLP:8.0%
two_factor,10,3,13.71,0.503,0.497,0.341,0.434,20.45,0.553,0.864,,0.78,,,49.74,1.71,XLK:30.0%; XLI:30.0%; XLY:15.0%; XLP:10.0%; XLB:5.0%,XLI:33.3%; XLK:26.7%; XLY:10.0%; XLV:6.7%; XLB:6.7%
two_factor,10,6,13.45,0.516,0.487,0.337,0.436,,,,,,,,65.47,,XLK:40.0%; XLI:20.0%; XLY:20.0%; XLB:10.0%; XLP:10.0%,XLI:40.0%; XLV:20.0%; XLK:20.0%; XLB:10.0%; XLU:10.0%
two_factor,15,1,13.46,0.459,0.435,0.283,0.403,10.86,0.296,0.347,1.333,1.048,-52.53,-7.408,34.53,1.534,XLK:29.2%; XLI:24.2%; XLV:12.5%; XLY:9.2%; XLP:8.3%,XLK:30.9%; XLI:23.0%; XLV:12.7%; XLY:10.3%; XLP:6.1%
two_factor,15,2,14.16,0.498,0.456,0.315,0.417,18.43,0.517,0.656,8.56,1.07,-45.23,,38.44,1.826,XLK:30.0%; XLI:21.7%; XLV:13.3%; XLY:10.0%; XLP:8.3%,XLK:29.3%; XLI:26.7%; XLV:12.0%; XLY:8.0%; XLB:5.3%
two_factor,15,3,12.38,0.424,0.401,0.267,0.434,21.15,0.611,0.767,,0.78,,,54.92,4.073,XLK:30.0%; XLI:23.3%; XLY:13.3%; XLB:10.0%; XLF:6.7%,XLK:28.9%; XLI:24.4%; XLY:11.1%; XLB:11.1%; XLV:6.7%
two_factor,15,6,11.72,0.416,0.316,0.253,0.436,,,,,,,,48.1,,XLK:33.3%; XLY:20.0%; XLB:13.3%; XLI:13.3%; XLRE:6.7%,XLI:26.7%; XLK:26.7%; XLV:20.0%; XLB:13.3%; XLY:6.7%
two_factor,20,1,13.26,0.458,0.41,0.275,0.403,9.62,0.249,0.296,1.33,1.048,-48.49,-8.71,33.3,1.529,XLK:29.4%; XLI:20.6%; XLV:14.4%; XLY:9.4%; XLP:7.5%,XLK:31.4%; XLI:19.5%; XLV:14.1%; XLY:10.5%; XLF:6.8%
two_factor,20,2,13.39,0.479,0.419,0.297,0.417,9.24,0.188,0.198,2.877,1.07,-47.32,,33.78,1.704,XLK:30.0%; XLI:20.0%; XLV:15.0%; XLY:10.0%; XLP:7.5%,XLK:31.0%; XLI:22.0%; XLV:13.0%; XLY:8.0%; XLF:6.0%
two_factor,20,3,11.79,0.409,0.362,0.25,0.434,18.84,0.497,0.624,,0.78,,,52.3,2.56,XLK:32.5%; XLI:17.5%; XLY:12.5%; XLB:7.5%; XLV:7.5%,XLK:31.7%; XLI:20.0%; XLY:10.0%; XLV:10.0%; XLB:10.0%
two_factor,20,6,11.32,0.39,0.314,0.242,0.436,,,,,,,,39.46,,XLK:40.0%; XLY:20.0%; XLB:10.0%; XLI:10.0%; XLV:5.0%,XLK:30.0%; XLI:25.0%; XLV:15.0%; XLB:15.0%; XLY:5.0%
two_factor,25,1,13.05,0.448,0.4,0.268,0.403,9.58,0.274,0.323,1.674,1.048,-43.81,-12.054,29.7,1.459,XLK:30.5%; XLI:22.5%; XLV:13.0%; XLY:9.0%; XLF:7.0%,XLK:32.0%; XLI:20.4%; XLV:12.4%; XLY:9.5%; XLF:8.4%
two_factor,25,2,13.56,0.487,0.428,0.306,0.417,7.56,0.111,0.116,1.937,1.07,-48.02,,28.72,1.829,XLK:32.0%; XLI:22.0%; XLV:12.0%; XLY:10.0%; XLF:7.0%,XLK:32.0%; XLI:21.6%; XLV:12.0%; XLF:8.8%; XLY:7.2%
two_factor,25,3,12.43,0.46,0.379,0.272,0.434,10.84,0.26,0.283,,0.78,,,36.87,2.235,XLK:32.0%; XLI:16.0%; XLY:10.0%; XLF:10.0%; XLV:8.0%,XLK:29.3%; XLI:18.7%; XLF:12.0%; XLV:9.3%; XLY:8.0%
two_factor,25,6,12.29,0.447,0.37,0.285,0.436,,,,,,,,26.77,,XLK:40.0%; XLY:16.0%; XLF:12.0%; XLB:8.0%; XLI:8.0%,XLK:24.0%; XLI:24.0%; XLF:16.0%; XLV:12.0%; XLB:12.0%
two_factor,30,1,12.99,0.443,0.411,0.262,0.403,9.35,0.291,0.347,2.025,1.048,-41.51,-47.877,28.24,1.577,XLK:29.6%; XLI:23.3%; XLV:11.2%; XLY:10.4%; XLF:7.1%,XLK:30.6%; XLI:20.9%; XLV:11.8%; XLY:10.3%; XLF:8.5%
two_factor,30,2,13.54,0.491,0.438,0.306,0.417,5.27,0.013,0.013,1.471,1.07,-47.58,,30.06,2.267,XLK:30.0%; XLI:22.5%; XLY:11.7%; XLV:10.8%; XLF:7.5%,XLK:31.3%; XLI:21.3%; XLV:10.7%; XLF:8.7%; XLY:8.0%
two_factor,30,3,12.9,0.496,0.417,0.293,0.434,4.9,-0.005,-0.005,,0.78,,,27.63,1.586,XLK:33.3%; XLI:18.3%; XLF:10.0%; XLY:8.3%; XLV:8.3%,XLK:31.1%; XLI:20.0%; XLF:12.2%; XLV:8.9%; XLY:7.8%
two_factor,30,6,11.92,0.436,0.38,0.284,0.436,,,,,,,,25.28,,XLK:36.7%; XLI:13.3%; XLY:13.3%; XLF:13.3%; XLB:6.7%,XLK:26.7%; XLI:23.3%; XLF:16.7%; XLV:10.0%; XLB:10.0%
two_factor,40,1,13.55,0.479,0.441,0.271,0.403,8.28,0.239,0.267,1.555,1.048,-40.97,-12.343,26.74,1.704,XLK:25.9%; XLI:23.4%; XLY:13.1%; XLV:11.6%; XLF:7.8%,XLK:27.7%; XLI:21.1%; XLV:12.3%; XLY:11.8%; XLF:10.2%
two_factor,40,2,13.81,0.498,0.453,0.313,0.417,9.46,0.242,0.25,6.235,1.07,-41.7,,30.28,2.315,XLK:25.6%; XLI:23.1%; XLY:13.1%; XLV:12.5%; XLF:9.4%,XLK:29.0%; XLI:21.5%; XLV:11.5%; XLY:10.0%; XLF:10.0%
two_factor,40,3,12.89,0.497,0.422,0.3,0.434,7.66,0.143,0.142,,0.78,,,29.31,2.482,XLK:30.0%; XLI:20.0%; XLV:10.0%; XLY:10.0%; XLF:10.0%,XLK:27.5%; XLI:20.8%; XLF:15.0%; XLV:10.0%; XLY:8.3%
two_factor,40,6,11.96,0.452,0.392,0.304,0.436,,,,,,,,23.78,,XLK:32.5%; XLI:15.0%; XLF:15.0%; XLV:12.5%; XLY:10.0%,XLF:25.0%; XLK:22.5%; XLI:22.5%; XLV:10.0%; XLB:10.0%
two_factor,50,1,12.89,0.446,0.393,0.253,0.403,7.54,0.197,0.24,1.494,1.048,-38.41,-12.847,24.65,1.613,XLK:25.0%; XLI:22.5%; XLY:14.0%; XLV:10.5%; XLF:8.8%,XLK:25.6%; XLI:20.5%; XLY:12.2%; XLV:11.6%; XLF:11.5%
two_factor,50,2,13.51,0.475,0.416,0.294,0.417,6.16,0.072,0.068,4.77,1.07,-40.6,,30.19,2.33,XLK:25.5%; XLI:22.5%; XLY:13.5%; XLV:11.5%; XLF:10.0%,XLK:26.4%; XLI:21.2%; XLF:11.6%; XLY:10.8%; XLV:10.8%
two_factor,50,3,12.09,0.452,0.384,0.269,0.434,5.97,0.054,0.052,,0.78,,,26.59,2.078,XLK:28.0%; XLI:20.0%; XLF:13.0%; XLY:11.0%; XLV:10.0%,XLK:25.3%; XLI:20.7%; XLF:17.3%; XLV:9.3%; XLY:8.7%
two_factor,50,6,11.62,0.427,0.339,0.283,0.436,,,,,,,,25.05,,XLK:30.0%; XLF:18.0%; XLI:16.0%; XLV:12.0%; XLY:12.0%,XLF:26.0%; XLI:22.0%; XLK:20.0%; XLB:10.0%; XLV:8.0%
two_factor,75,1,12.53,0.425,0.364,0.241,0.403,9.99,0.373,0.448,1.852,1.048,-37.16,-6.518,27.45,1.792,XLK:24.2%; XLI:19.8%; XLY:14.3%; XLF:11.7%; XLV:11.2%,XLK:23.9%; XLI:19.2%; XLF:13.9%; XLY:12.5%; XLV:11.2%
two_factor,75,2,12.5,0.419,0.358,0.264,0.417,9.45,0.311,0.219,,1.07,-35.37,,32.46,1.9,XLK:24.0%; XLI:19.3%; XLY:14.3%; XLF:14.0%; XLV:11.7%,XLK:24.5%; XLI:18.7%; XLF:13.6%; XLY:11.5%; XLV:10.9%
two_factor,75,3,12.3,0.456,0.375,0.263,0.434,7.65,0.125,0.202,,0.78,,,29.07,1.287,XLK:24.7%; XLF:20.7%; XLI:17.3%; XLY:12.0%; XLV:8.0%,XLK:22.7%; XLF:21.3%; XLI:18.7%; XLY:10.2%; XLV:8.0%
two_factor,75,6,11.83,0.428,0.326,0.286,0.436,,,,,,,,31.72,,XLF:28.0%; XLK:24.0%; XLI:16.0%; XLY:13.3%; XLV:8.0%,XLF:22.7%; XLI:21.3%; XLK:18.7%; XLV:8.0%; XLB:8.0%
two_factor,100,1,11.7,0.378,0.323,0.226,0.403,8.75,0.284,0.337,1.283,1.048,-41.5,-6.113,28.67,2.188,XLK:24.0%; XLI:19.6%; XLF:13.4%; XLY:13.0%; XLV:11.2%,XLK:23.3%; XLI:19.2%; XLF:15.9%; XLY:11.5%; XLV:10.9%
two_factor,100,2,11.98,0.39,0.341,0.248,0.417,15.49,0.702,0.514,,1.07,-34.8,,29.95,1.814,XLK:24.5%; XLI:19.0%; XLF:15.2%; XLY:13.5%; XLV:11.0%,XLK:22.8%; XLI:18.2%; XLF:16.0%; XLV:11.6%; XLY:10.6%
two_factor,100,3,11.63,0.414,0.332,0.246,0.434,10.7,0.268,0.305,,0.78,,,34.33,1.891,XLK:22.0%; XLF:21.5%; XLI:18.5%; XLV:11.0%; XLY:10.5%,XLF:22.0%; XLK:20.3%; XLI:19.0%; XLV:10.7%; XLY:9.3%
two_factor,100,6,11.4,0.401,0.281,0.269,0.436,,,,,,,,35.84,,XLF:28.0%; XLK:23.0%; XLI:17.0%; XLY:12.0%; XLV:9.0%,XLF:23.0%; XLI:20.0%; XLK:17.0%; XLV:10.0%; XLU:7.0%
