rank,run_id,mom_lookback,mom_skip,ma_short,ma_long,w_momentum,w_ma,ann_return,ann_vol,sharpe,max_drawdown,calmar,n_months
0,mom18_skip1_ma1-12_w5-5,18,1,1,12,0.5,0.5,25.93,20.7,0.883,-15.06,1.722,48
1,mom18_skip1_ma1-12_w7-3,18,1,1,12,0.7,0.3,26.03,20.98,0.875,-15.09,1.725,48
2,mom24_skip1_ma3-12_w7-3,24,1,3,12,0.7,0.3,24.98,20.08,0.872,-15.81,1.58,48
3,mom24_skip1_ma1-12_w5-5,24,1,1,12,0.5,0.5,24.65,19.82,0.87,-15.22,1.62,48
4,mom24_skip1_ma1-12_w7-3,24,1,1,12,0.7,0.3,24.82,20.31,0.855,-17.05,1.456,48
5,mom18_skip0_ma1-12_w5-5,18,0,1,12,0.5,0.5,24.26,20.14,0.84,-14.67,1.653,48
6,mom24_skip1_ma3-12_w5-5,24,1,3,12,0.5,0.5,23.9,19.85,0.837,-14.2,1.683,48
7,mom18_skip0_ma3-12_w7-3,18,0,3,12,0.7,0.3,24.0,19.99,0.836,-13.06,1.838,48
8,mom24_skip1_ma3-12_w3-7,24,1,3,12,0.3,0.7,23.05,19.17,0.831,-12.84,1.795,48
9,mom18_skip0_ma1-12_w7-3,18,0,1,12,0.7,0.3,23.22,19.7,0.815,-13.26,1.75,48
10,mom18_skip1_ma3-12_w5-5,18,1,3,12,0.5,0.5,22.42,20.2,0.762,-15.88,1.412,48
11,mom24_skip0_ma1-12_w5-5,24,0,1,12,0.5,0.5,21.84,19.67,0.758,-15.56,1.403,48
12,mom18_skip0_ma3-12_w5-5,18,0,3,12,0.5,0.5,21.68,19.86,0.745,-14.65,1.481,48
13,mom18_skip1_ma3-12_w7-3,18,1,3,12,0.7,0.3,21.97,20.46,0.735,-15.65,1.404,48
14,mom24_skip0_ma3-12_w5-5,24,0,3,12,0.5,0.5,21.46,19.89,0.734,-15.06,1.426,48
15,mom18_skip1_ma3-12_w3-7,18,1,3,12,0.3,0.7,21.67,20.21,0.731,-14.78,1.466,48
16,mom18_skip0_ma1-12_w3-7,18,0,1,12,0.3,0.7,21.13,19.81,0.723,-13.68,1.544,48
17,mom18_skip0_ma6-12_w7-3,18,0,6,12,0.7,0.3,22.01,20.9,0.721,-18.63,1.181,48
18,mom24_skip0_ma3-12_w7-3,24,0,3,12,0.7,0.3,21.41,20.22,0.72,-17.77,1.205,48
19,mom24_skip0_ma3-12_w3-7,24,0,3,12,0.3,0.7,20.7,19.46,0.718,-13.93,1.486,48
20,mom18_skip1_ma1-12_w3-7,18,1,1,12,0.3,0.7,20.56,19.73,0.702,-14.44,1.424,48
21,mom18_skip1_ma1-6_w5-5,18,1,1,6,0.5,0.5,21.53,21.12,0.694,-16.71,1.288,54
22,mom24_skip1_ma6-12_w5-5,24,1,6,12,0.5,0.5,21.59,21.42,0.687,-18.63,1.159,48
23,mom24_skip0_ma1-12_w7-3,24,0,1,12,0.7,0.3,20.49,20.28,0.68,-17.71,1.157,48
24,mom24_skip1_ma6-12_w7-3,24,1,6,12,0.7,0.3,20.91,21.12,0.669,-18.63,1.122,48
25,mom18_skip1_ma6-12_w5-5,18,1,6,12,0.5,0.5,21.71,22.34,0.663,-19.46,1.116,48
26,mom24_skip0_ma1-12_w3-7,24,0,1,12,0.3,0.7,19.37,19.49,0.658,-14.25,1.359,48
