window,rebal_date,period_end_date,n_stocks,turnover_pct,raw_ret_pct,tc_drag_bp,net_ret_pct,spy_ret_pct,excess_ret_pct,model_nav,spy_nav,tickers
IS,2005-11-30,2006-01-31,10,100.0,2.62,10.0,2.52,2.2055,0.3145,1.0252,1.022055,"CPB, HRL, TGT, LOW, HD, M, NTAP, WSM, NVDA, MRVL"
IS,2006-01-31,2006-03-31,10,80.0,0.91,8.0,0.83,2.2324,-1.4024,1.033709,1.044871,"GD, HAL, MDU, GWW, LOW, USB, HD, ANF, APH, UPS"
IS,2006-03-31,2006-05-31,10,70.0,2.44,7.0,2.37,-1.7869,4.1569,1.058208,1.0262,"OMC, APA, LNC, TGT, LOW, USB, BKR, MLM, APH, CME"
IS,2006-05-31,2006-07-31,10,20.0,-2.54,2.0,-2.56,0.7098,-3.2698,1.031118,1.033484,"MDU, OMC, PH, LNC, LOW, USB, BKR, MLM, APH, CME"
IS,2006-07-31,2006-09-30,10,40.0,3.93,4.0,3.89,4.9413,-1.0513,1.071228,1.084551,"SNV, APD, OMC, CMI, PH, LOW, USB, MLM, RSG, CME"
IS,2006-09-30,2006-11-30,10,30.0,6.31,3.0,6.28,5.2028,1.0772,1.138502,1.140979,"LH, SNV, APD, OMC, CMI, USB, ECL, MLM, AMT, CME"
IS,2006-11-30,2007-01-31,10,60.0,3.62,6.0,3.56,2.8613,0.6987,1.179032,1.173625,"CTAS, OMC, PH, GPC, RRC, GWW, USB, ECL, SCCO, CME"
IS,2007-01-31,2007-03-31,10,50.0,-0.42,5.0,-0.47,-0.8256,0.3556,1.173491,1.163936,"LH, SNV, OMC, GPC, USB, ECL, KSS, APH, RSG, CME"
IS,2007-03-31,2007-05-31,10,30.0,5.38,3.0,5.35,7.9718,-2.6218,1.236273,1.256723,"SNV, OMC, PH, GPC, TGT, USB, ECL, APH, AMT, CME"
IS,2007-05-31,2007-07-31,10,50.0,-2.61,5.0,-2.66,-4.5473,1.8873,1.203388,1.199576,"LH, OMC, ATI, GPC, GWW, NTRS, ECL, APH, CTSH, CME"
IS,2007-07-31,2007-09-30,10,60.0,7.99,6.0,7.93,5.2043,2.7257,1.298816,1.262006,"TXT, APD, GPC, NTRS, ECL, STT, AB, QCOM, NOV, CTSH"
IS,2007-09-30,2007-11-30,10,30.0,1.56,3.0,1.53,-2.5691,4.0991,1.318688,1.229584,"ADM, LH, GPC, NTRS, AXP, ECL, STT, AB, QCOM, CTSH"
IS,2007-11-30,2008-01-31,10,50.0,-9.85,5.0,-9.9,-7.1041,-2.7959,1.188138,1.142233,"NOC, GPC, NTRS, SCHW, AB, QCOM, CTSH, BFH, CME, CCO"
IS,2008-01-31,2008-03-31,10,60.0,-4.66,6.0,-4.72,-3.4554,-1.2646,1.132058,1.102765,"ORCL, CDNS, IBM, AAPL, GPC, MLM, CTSH, CME, AMP, CCO"
IS,2008-03-31,2008-05-31,10,30.0,9.14,3.0,9.11,6.3499,2.7601,1.235188,1.17279,"ORCL, CDNS, LH, IBM, AAPL, GPC, WMT, ECL, CME, CCO"
IS,2008-05-31,2008-07-31,10,50.0,-6.63,5.0,-6.68,-9.181,2.501,1.152678,1.065116,"ORCL, LH, RTX, FLS, GPC, WMT, PAYX, AZO, CME, DLB"
IS,2008-07-31,2008-09-30,10,60.0,-10.36,6.0,-10.42,-8.0175,-2.4025,1.032569,0.979719,"ORCL, DOV, MUR, GPC, WMT, ECL, AZO, ROP, WAT, CF"
IS,2008-09-30,2008-11-30,10,40.0,-17.76,4.0,-17.8,-22.3295,4.5295,0.848772,0.760953,"PG, GPC, SYY, WMT, ECL, AZO, ROP, DLB, CF, ROST"
IS,2008-11-30,2009-01-31,10,80.0,-1.78,8.0,-1.86,-7.3122,5.4522,0.832984,0.70531,"ORCL, XOM, CVS, ADP, GPC, GWW, AZO, WAT, CHRW, FSLR"
IS,2009-01-31,2009-03-31,10,60.0,3.47,6.0,3.41,-3.309,6.719,0.861389,0.681971,"IBM, AAPL, CVS, BMY, VFC, ADP, GPC, WMT, RL, FSLR"
IS,2009-03-31,2009-05-31,10,50.0,12.65,5.0,12.6,16.3607,-3.7607,0.969924,0.793547,"IBM, ITT, AAPL, CVS, BMY, BAX, BFH, CRM, DLB, FSLR"
IS,2009-05-31,2009-07-31,10,60.0,6.43,6.0,6.37,7.3901,-1.0201,1.031708,0.852191,"AAPL, BAX, DLTR, DGX, EW, AAP, PAA, CRM, ROST, FSLR"
IS,2009-07-31,2009-09-30,10,40.0,6.87,4.0,6.83,7.3707,-0.5407,1.102174,0.915003,"LH, IBM, AAPL, K, ADP, DLTR, DGX, CRM, ROST, FSLR"
IS,2009-09-30,2009-11-30,10,20.0,3.21,2.0,3.19,4.1197,-0.9297,1.137333,0.952699,"LH, AAPL, CL, ADP, DLTR, DGX, CRM, LDOS, ROST, FSLR"
IS,2009-11-30,2010-01-31,10,50.0,1.44,5.0,1.39,-1.7935,3.1835,1.153142,0.935612,"AAPL, CVS, CHD, SJM, DLTR, BKNG, CRM, LDOS, ROST, ACM"
IS,2010-01-31,2010-03-31,10,20.0,13.86,2.0,13.84,9.3973,4.4427,1.312737,1.023534,"IBM, AAPL, CVS, CL, CHD, DLTR, BKNG, CRM, LDOS, ROST"
