group,signal,is_n,is_mean_ic,is_ic_std,is_icir,is_t_stat,is_p_one_side,is_pct_pos,oos_n,oos_mean_ic,oos_ic_std,oos_icir,oos_t_stat,oos_p_one_side,oos_pct_pos,oos_retention_pct,bh_adj_p,bh_signif
momentum,mom_52wk_high,227,0.02352,0.1367,0.172,2.59,0.00508,54.6,11,0.0057,0.05882,0.097,0.32,0.37718,45.5,24.2,0.04064,True
momentum,mom_vol_adj_12m,228,0.00442,0.04829,0.092,1.38,0.08408,53.1,11,-0.01358,0.0307,-0.442,-1.47,0.91349,36.4,-307.2,0.33632,False
momentum,mom_1m,239,0.00025,0.0341,0.007,0.12,0.45409,49.0,11,-0.00472,0.02212,-0.214,-0.71,0.75254,63.6,-1888.0,0.99999,False
momentum,mom_3m,237,-0.01118,0.14382,-0.078,-1.2,0.88372,42.2,11,0.01122,0.13857,0.081,0.27,0.39687,36.4,-100.4,0.99999,False
momentum,mom_6m_skip1,234,-0.01633,0.13883,-0.118,-1.8,0.96336,42.7,11,0.02166,0.11761,0.184,0.61,0.27748,54.5,-132.6,0.99999,False
momentum,price_vs_12m_ma,228,-0.01748,0.14709,-0.119,-1.79,0.963,44.3,11,0.01027,0.05294,0.194,0.64,0.26714,36.4,-58.8,0.99999,False
momentum,mom_12m_skip1,228,-0.02164,0.13631,-0.159,-2.4,0.99133,43.4,11,0.00619,0.0538,0.115,0.38,0.35544,36.4,-28.6,0.99999,False
momentum,mom_24m_skip1,216,-0.03428,0.11733,-0.292,-4.29,0.99999,39.4,11,-0.02868,0.05462,-0.525,-1.74,0.94388,27.3,83.7,0.99999,False
quality,inv_debt_equity,240,0.03321,0.0439,0.756,11.72,0.0,72.9,11,0.08426,0.02322,3.629,12.03,0.0,100.0,253.7,0.0,True
quality,neg_accruals,240,0.01041,0.02501,0.416,6.45,0.0,68.8,11,0.00498,0.01161,0.429,1.42,0.09273,72.7,47.8,0.0,True
quality,earnings_yield,240,0.01598,0.0472,0.339,5.25,0.0,55.8,11,0.07559,0.0274,2.759,9.15,0.0,100.0,473.0,0.0,True
quality,gross_prof,240,0.00536,0.02215,0.242,3.75,0.00011,63.3,11,-0.01899,0.01567,-1.212,-4.02,0.99878,9.1,-354.3,0.00028,True
quality,roe_ttm,240,0.00562,0.03334,0.169,2.61,0.00479,54.2,11,0.01622,0.02848,0.57,1.89,0.04408,72.7,288.6,0.00958,True
quality,roa_ttm,240,0.00302,0.03367,0.09,1.39,0.08324,54.6,11,0.00379,0.03676,0.103,0.34,0.36965,54.5,125.5,0.13873,False
quality,fcf_yield,240,-0.0008,0.02989,-0.027,-0.42,0.66093,52.9,11,-0.00458,0.02082,-0.22,-0.73,0.75863,54.5,572.5,0.83586,False
quality,composite_equal_wt,240,-0.00094,0.03351,-0.028,-0.44,0.66869,52.9,11,0.00278,0.02335,0.119,0.4,0.35044,54.5,-295.7,0.83586,False
quality,inv_pb,240,-0.00656,0.03124,-0.21,-3.25,0.99935,45.4,11,-0.03923,0.02287,-1.715,-5.69,0.9999,0.0,598.0,1.0,False
quality,ocf_yield,240,-0.01226,0.02904,-0.422,-6.54,1.0,38.8,11,-0.03655,0.01854,-1.972,-6.54,0.99997,0.0,298.1,1.0,False
sector,sector_rs_1m,240,0.00841,0.05955,0.141,2.19,0.01485,55.8,11,0.01756,0.03641,0.482,1.6,0.07038,72.7,208.8,0.04509,True
sector,sector_rs_12m,240,0.00702,0.05364,0.131,2.03,0.02191,55.0,11,0.00815,0.04554,0.179,0.59,0.28288,45.5,116.1,0.04509,True
sector,sector_rs_3m,240,0.00653,0.05444,0.12,1.86,0.03221,54.2,11,0.00947,0.0361,0.262,0.87,0.20235,45.5,145.0,0.04509,True
sector,sector_rs_vol_adj,240,0.00666,0.05549,0.12,1.86,0.03212,57.9,11,0.00816,0.03774,0.216,0.72,0.24494,54.5,122.5,0.04509,True
sector,sector_abs_mom_3m,240,0.00653,0.05444,0.12,1.86,0.03221,54.2,11,0.00947,0.0361,0.262,0.87,0.20235,45.5,145.0,0.04509,True
sector,sector_rs_trend_6m,237,0.00423,0.05285,0.08,1.23,0.10946,53.6,11,0.0178,0.02984,0.597,1.98,0.038,54.5,420.8,0.1277,False
sector,sector_rs_6m,240,0.00399,0.05608,0.071,1.1,0.13566,52.1,11,0.00702,0.04345,0.162,0.54,0.3018,36.4,175.9,0.13566,False
analyst,neg_dispersion,240,0.07373,0.03783,1.949,30.19,0.0,97.5,11,0.06877,0.02002,3.435,11.39,0.0,100.0,93.3,0.0,True
analyst,rev_1m,239,0.00743,0.03024,0.246,3.8,9e-05,60.3,11,-0.00616,0.02674,-0.23,-0.76,0.76883,27.3,-82.9,0.00045,True
analyst,rev_trend_3m,238,0.0079,0.03663,0.216,3.33,0.00051,60.9,11,-0.00111,0.02836,-0.039,-0.13,0.55016,36.4,-14.1,0.0017,True
analyst,rev_6m,234,0.00797,0.04312,0.185,2.83,0.00254,59.4,11,-0.00073,0.02327,-0.031,-0.1,0.54054,45.5,-9.2,0.00635,True
analyst,net_upgrades,240,-0.04064,0.03576,-1.136,-17.61,1.0,14.6,11,-0.056,0.01572,-3.562,-11.81,1.0,0.0,137.8,1.0,False
analyst,rev_3m,240,-0.09874,0.04946,-1.997,-30.93,1.0,2.1,11,-0.12452,0.02725,-4.569,-15.15,1.0,0.0,126.1,1.0,False
analyst,buy_pct_rev_3m,240,-0.10434,0.05223,-1.998,-30.95,1.0,2.5,11,-0.12521,0.02427,-5.158,-17.11,1.0,0.0,120.0,1.0,False
analyst,coverage_chg_3m,240,-0.14568,0.06993,-2.083,-32.27,1.0,2.1,11,-0.2072,0.0303,-6.839,-22.68,1.0,0.0,142.2,1.0,False
analyst,buy_pct,240,-0.17699,0.08042,-2.201,-34.09,1.0,2.5,11,-0.20467,0.03341,-6.126,-20.32,1.0,0.0,115.6,1.0,False
analyst,neg_meanrec,240,-0.16523,0.0741,-2.23,-34.55,1.0,2.1,11,-0.18506,0.03208,-5.769,-19.13,1.0,0.0,112.0,1.0,False
macro,beta_x_indpro,240,0.00564,0.06173,0.091,1.42,0.07913,51.7,11,-0.00184,0.05173,-0.036,-0.12,0.54572,45.5,-32.6,0.51012,False
macro,beta_x_unemp,240,0.00549,0.06175,0.089,1.38,0.08502,52.1,11,0.00184,0.05173,0.036,0.12,0.45428,54.5,33.5,0.51012,False
macro,sector_mom_x_indpro,240,0.00255,0.05404,0.047,0.73,0.23252,53.3,11,0.00815,0.04554,0.179,0.59,0.28288,45.5,319.6,0.90648,False
macro,beta_x_hy (★),240,0.00056,0.06199,0.009,0.14,0.44399,53.8,11,0.00721,0.05125,0.141,0.47,0.3254,54.5,1287.5,0.90648,False
macro,sector_mom_x_payems,240,0.00021,0.0541,0.004,0.06,0.47638,55.4,11,-0.00815,0.04554,-0.179,-0.59,0.71712,54.5,-3881.0,0.90648,False
macro,sector_mom_x_unemp,240,-0.00042,0.0541,-0.008,-0.12,0.54797,52.1,11,-0.00815,0.04554,-0.179,-0.59,0.71712,54.5,1940.5,0.90648,False
macro,beta_x_payems,240,-0.00099,0.06198,-0.016,-0.25,0.5974,47.1,11,0.00184,0.05173,0.036,0.12,0.45428,54.5,-185.9,0.90648,False
macro,sector_mom_x_yieldcurve,240,-0.00116,0.05408,-0.021,-0.33,0.63023,50.4,11,0.00815,0.04554,0.179,0.59,0.28288,45.5,-702.6,0.90648,False
macro,sector_mom_x_hy,240,-0.00163,0.05407,-0.03,-0.47,0.67986,44.6,11,-0.01688,0.04307,-0.392,-1.3,0.88865,36.4,1035.6,0.90648,False
macro,sector_mom_x_combined_or,240,-0.00592,0.05377,-0.11,-1.71,0.95535,45.0,11,-0.00815,0.04554,-0.179,-0.59,0.71712,54.5,137.7,0.98314,False
macro,beta_x_combined_or,240,-0.00756,0.06153,-0.123,-1.9,0.97092,45.0,11,0.00184,0.05173,0.036,0.12,0.45428,54.5,-24.3,0.98314,False
macro,beta_x_yieldcurve,240,-0.00847,0.06141,-0.138,-2.14,0.98314,46.2,11,-0.00184,0.05173,-0.036,-0.12,0.54572,45.5,21.7,0.98314,False
