basket_size,hold_months,run_id,ann_return,ann_vol,sharpe,max_drawdown,calmar,hit_rate,t_stat,n_periods,n_months
10,1,top10_hold1m,20.37,20.29,0.68,-27.0,0.754,61.5,3.56,179,179
25,1,top25_hold1m,17.96,17.83,0.658,-21.75,0.826,63.1,3.6,179,179
50,1,top50_hold1m,15.4,15.61,0.61,-18.96,0.812,67.6,3.57,179,179
100,1,top100_hold1m,14.37,14.6,0.59,-20.38,0.705,64.8,3.57,179,179
10,2,top10_hold2m,19.73,19.9,0.673,-31.19,0.633,64.0,3.54,89,178
25,2,top25_hold2m,18.29,16.13,0.752,-24.58,0.744,70.8,4.07,89,178
50,2,top50_hold2m,16.48,14.34,0.736,-18.95,0.87,70.8,4.15,89,178
100,2,top100_hold2m,14.88,13.88,0.658,-16.92,0.879,69.7,3.89,89,178
10,3,top10_hold3m,22.3,16.03,0.982,-11.36,1.963,76.3,4.95,59,177
25,3,top25_hold3m,19.26,12.8,1.024,-15.34,1.255,69.5,5.41,59,177
50,3,top50_hold3m,16.95,11.58,0.955,-12.39,1.368,76.3,5.29,59,177
100,3,top100_hold3m,14.63,11.44,0.785,-11.78,1.242,72.9,4.66,59,177
10,6,top10_hold6m,20.87,16.77,0.891,-25.04,0.834,86.2,4.51,29,174
25,6,top25_hold6m,17.71,12.98,0.928,-18.73,0.945,86.2,4.98,29,174
50,6,top50_hold6m,16.27,11.49,0.933,-11.66,1.396,86.2,5.19,29,174
100,6,top100_hold6m,15.14,10.83,0.892,-9.97,1.518,89.7,5.13,29,174
