date,rolling_corr,rolling_beta,beta_ci_lo,beta_ci_hi
2005-01-31,,,,
2005-02-28,,,,
2005-03-31,,,,
2005-04-30,,,,
2005-05-31,,,,
2005-06-30,,,,
2005-07-31,,,,
2005-08-31,,,,
2005-09-30,,,,
2005-10-31,,,,
2005-11-30,,,,
2005-12-31,,,,
2006-01-31,,,,
2006-02-28,,,,
2006-03-31,,,,
2006-04-30,,,,
2006-05-31,,,,
2006-06-30,,,,
2006-07-31,,,,
2006-08-31,,,,
2006-09-30,,,,
2006-10-31,,,,
2006-11-30,,,,
2006-12-31,,,,
2007-01-31,,,,
2007-02-28,,,,
2007-03-31,,,,
2007-04-30,,,,
2007-05-31,,,,
2007-06-30,,,,
2007-07-31,,,,
2007-08-31,,,,
2007-09-30,,,,
2007-10-31,,,,
2007-11-30,,,,
2007-12-31,,,,
2008-01-31,,,,
2008-02-29,,,,
2008-03-31,,,,
2008-04-30,,,,
2008-05-31,,,,
2008-06-30,,,,
2008-07-31,,,,
2008-08-31,,,,
2008-09-30,,,,
2008-10-31,,,,
2008-11-30,,,,
2008-12-31,-0.47774079023792415,-0.03676048294600419,-0.07247916861999529,-0.0010417972720130966
2009-01-31,-0.5342189202909466,-0.0387314768558957,-0.0668025569585332,-0.010660396753258208
2009-02-28,-0.29724527901954345,-0.0204149576126341,-0.06387916927684154,0.02304925405157334
2009-03-31,-0.0029623052319685816,-0.0002024191819649107,-0.04918565595727191,0.04878081759334209
2009-04-30,0.10570679142605588,0.006614978715068465,-0.029089399245685182,0.04231935667582211
2009-05-31,0.1371128528329093,0.00773220895189661,-0.018844622827548903,0.034309040731342125
2009-06-30,0.21563793520887256,0.011313850666921699,-0.009639472341942571,0.032267173675785965
2009-07-31,0.24854967530895783,0.012408687967140692,-0.005030475522080417,0.0298478514563618
2009-08-31,0.2813735247986942,0.013588219459242268,-0.0015092410246993534,0.02868567994318389
2009-09-30,0.2257933553652069,0.01063757603874078,-0.004769629082655309,0.026044781160136872
2009-10-31,0.23718499548838237,0.01079377208643801,-0.003128909759147291,0.024716453932023312
2009-11-30,0.26466368277726704,0.011891236784529108,-0.0009027653701533037,0.02468523893921152
2009-12-31,0.28105916200050796,0.012325186874589306,0.00019294522067804694,0.024457428528500566
2010-01-31,0.2920349246820209,0.012833342708894257,0.0010776808065402592,0.024589004611248255
2010-02-28,0.31784545095802674,0.014215915317918628,0.0027262328530851844,0.02570559778275207
2010-03-31,0.32451365501156293,0.014858731558244286,0.0033954499142885668,0.026322013202200005
2010-04-30,0.30835945102131845,0.014428982863857433,0.0027591425570422518,0.026098823170672615
2010-05-31,0.30920036372356147,0.014832279895672994,0.002882854351359229,0.026781705439986758
2010-06-30,0.2881854170516601,0.013988639041755272,0.0018873605939070982,0.026089917489603445
2010-07-31,0.310509595027232,0.015275825285177177,0.0030359390135428644,0.02751571155681149
2010-08-31,0.2805164788226792,0.014131325943386643,0.0015276280569708998,0.026735023829802387
2010-09-30,0.2833575300577211,0.014280670838063031,0.0016904938794700102,0.02687084779665605
2010-10-31,0.28672085679263265,0.014489377499461206,0.0018841919307120304,0.027094563068210384
2010-11-30,0.25879787952464917,0.013233933713203562,0.00014125056513046748,0.026326616861276658
2010-12-31,0.26295960785582106,0.013522810153134814,0.0003492190429691816,0.026696401263300445
2011-01-31,0.24750989212600819,0.012739760826438346,-0.000556212859821147,0.02603573451269784
2011-02-28,0.2422017645481153,0.012351169511418469,-0.0007695798546007073,0.025471918877437646
2011-03-31,0.24183708431248827,0.012225703346814316,-0.0007381055862882187,0.02518951227991685
2011-04-30,0.2544901742919261,0.012745531176390584,2.649079440272123e-05,0.025464571558378446
2011-05-31,0.25994818105239137,0.01291891080918586,0.0003952392568309024,0.025442582361540816
2011-06-30,0.2555550636453679,0.012580424708832767,0.00023378340793344006,0.024927066009732095
2011-07-31,0.27274882364183584,0.013604092119974083,0.0011036132864386435,0.026104570953509522
2011-08-31,0.29864892818951394,0.015135977033988463,0.0024382099727510795,0.02783374409522585
2011-09-30,0.2589529389735646,0.013367532965237157,0.00016468980550171826,0.026570376124972594
2011-10-31,0.2521932281907758,0.012772458559736723,-0.00012582236054107035,0.025670739480014516
2011-11-30,0.2485100452413587,0.012457147072584282,-0.00021589068502032155,0.025130184830188886
