basket_size,hold_months,ann_return,ann_vol,sharpe,sortino,max_drawdown,calmar,hit_rate,t_stat,n_periods,n_months
10,1,9.95,16.99,0.273,0.264,-29.96,0.332,59.2,2.16,179,179
25,1,12.05,15.12,0.433,0.405,-25.95,0.464,65.4,2.92,179,179
50,1,11.93,14.13,0.455,0.435,-24.8,0.481,63.1,3.09,179,179
100,1,12.15,13.67,0.486,0.463,-21.77,0.558,65.4,3.26,179,179
10,2,11.87,17.49,0.367,0.333,-38.16,0.311,66.3,2.49,89,178
25,2,15.22,16.03,0.588,0.479,-32.12,0.474,76.4,3.44,89,178
50,2,14.35,14.77,0.586,0.459,-28.21,0.509,74.2,3.54,89,178
100,2,13.26,13.65,0.563,0.446,-25.33,0.524,75.3,3.55,89,178
10,3,7.46,14.53,0.162,0.149,-48.15,0.155,62.7,1.92,59,177
25,3,9.9,12.01,0.387,0.363,-27.15,0.365,67.8,3.06,59,177
50,3,10.37,11.65,0.436,0.413,-25.11,0.413,71.2,3.29,59,177
100,3,12.22,11.03,0.616,0.629,-18.7,0.654,69.5,4.07,59,177
10,6,8.03,13.32,0.22,0.179,-40.74,0.197,72.4,2.25,29,174
25,6,9.25,8.93,0.459,0.491,-24.58,0.376,79.3,3.85,29,174
50,6,11.83,8.79,0.746,0.781,-21.69,0.545,82.8,4.98,29,174
100,6,12.31,8.49,0.826,0.887,-18.54,0.664,86.2,5.36,29,174
